cod;nome;pop
1700251;Abreulândia (TO);2576
1700301;Aguiarnópolis (TO);4497
1700350;Aliança do Tocantins (TO);5147
1700400;Almas (TO);6499
1700707;Alvorada (TO);8802
1701002;Ananás (TO);10325
1701051;Angico (TO);2876
1701101;Aparecida do Rio Negro (TO);4856
1701309;Aragominas (TO);5290
1701903;Araguacema (TO);5927
1702000;Araguaçu (TO);8133
1702109;Araguaína (TO);171301
1702158;Araguanã (TO);4310
1702208;Araguatins (TO);31918
1702307;Arapoema (TO);5550
1702406;Arraias (TO);10287
1702554;Augustinópolis (TO);17484
1702703;Aurora do Tocantins (TO);3342
1702901;Axixá do Tocantins (TO);10262
1703008;Babaçulândia (TO);7880
1703057;Bandeirantes do Tocantins (TO);3407
1703073;Barra do Ouro (TO);4476
1703107;Barrolândia (TO);4846
1703206;Bernardo Sayão (TO);4229
1703305;Bom Jesus do Tocantins (TO);4038
1703602;Brasilândia do Tocantins (TO);1974
1703701;Brejinho de Nazaré (TO);4725
1703800;Buriti do Tocantins (TO);10307
1703826;Cachoeirinha (TO);1961
1703842;Campos Lindos (TO);8653
1703867;Cariri do Tocantins (TO);4007
1703883;Carmolândia (TO);2201
1703891;Carrasco Bonito (TO);3318
1703909;Caseara (TO);4847
1704105;Centenário (TO);2131
1704600;Chapada de Areia (TO);1501
1705102;Chapada da Natividade (TO);3117
1705508;Colinas do Tocantins (TO);34233
1705557;Combinado (TO);4756
1705607;Conceição do Tocantins (TO);3887
1706001;Couto Magalhães (TO);5331
1706100;Cristalândia (TO);6371
1706258;Crixás do Tocantins (TO);1470
1706506;Darcinópolis (TO);5827
1707009;Dianópolis (TO);17739
1707108;Divinópolis do Tocantins (TO);7024
1707207;Dois Irmãos do Tocantins (TO);6327
1707306;Dueré (TO);4248
1707405;Esperantina (TO);7530
1707553;Fátima (TO);3467
1707652;Figueirópolis (TO);5211
1707702;Filadélfia (TO);7712
1708205;Formoso do Araguaia (TO);18881
1708254;Tabocão (TO);3455
1708304;Goianorte (TO);4738
1709005;Goiatins (TO);12433
1709302;Guaraí (TO);24775
1709500;Gurupi (TO);85125
1709807;Ipueiras (TO);1590
1710508;Itacajá (TO);6819
1710706;Itaguatins (TO);5172
1710904;Itapiratins (TO);3577
1711100;Itaporã do Tocantins (TO);2404
1711506;Jaú do Tocantins (TO);3334
1711803;Juarina (TO);2243
1711902;Lagoa da Confusão (TO);15288
1711951;Lagoa do Tocantins (TO);3516
1712009;Lajeado (TO);3357
1712157;Lavandeira (TO);1626
1712405;Lizarda (TO);2999
1712454;Luzinópolis (TO);2717
1712504;Marianópolis do Tocantins (TO);4615
1712702;Mateiros (TO);2748
1712801;Maurilândia do Tocantins (TO);3095
1713205;Miracema do Tocantins (TO);18566
1713304;Miranorte (TO);12701
1713601;Monte do Carmo (TO);5694
1713700;Monte Santo do Tocantins (TO);2396
1713809;Palmeiras do Tocantins (TO);4872
1713957;Muricilândia (TO);3367
1714203;Natividade (TO);8754
1714302;Nazaré (TO);4521
1714880;Nova Olinda (TO);10367
1715002;Nova Rosalândia (TO);3362
1715101;Novo Acordo (TO);3969
1715150;Novo Alegre (TO);1846
1715259;Novo Jardim (TO);2230
1715507;Oliveira de Fátima (TO);1164
1715705;Palmeirante (TO);4798
1715754;Palmeirópolis (TO);6975
1716109;Paraíso do Tocantins (TO);52360
1716208;Paranã (TO);10542
1716307;Pau D'Arco (TO);4043
1716505;Pedro Afonso (TO);14055
1716604;Peixe (TO);9317
1716653;Pequizeiro (TO);4921
1716703;Colméia (TO);8941
1717008;Pindorama do Tocantins (TO);4478
1717206;Piraquê (TO);2282
1717503;Pium (TO);7128
1717800;Ponte Alta do Bom Jesus (TO);4220
1717909;Ponte Alta do Tocantins (TO);7586
1718006;Porto Alegre do Tocantins (TO);2866
1718204;Porto Nacional (TO);64418
1718303;Praia Norte (TO);9044
1718402;Presidente Kennedy (TO);3047
1718451;Pugmil (TO);2193
1718501;Recursolândia (TO);3421
1718550;Riachinho (TO);3960
1718659;Rio da Conceição (TO);1768
1718709;Rio dos Bois (TO);2738
1718758;Rio Sono (TO);4841
1718808;Sampaio (TO);4215
1718840;Sandolândia (TO);3723
1718865;Santa Fé do Araguaia (TO);7216
1718881;Santa Maria do Tocantins (TO);2680
1718899;Santa Rita do Tocantins (TO);2219
1718907;Santa Rosa do Tocantins (TO);4653
1719004;Santa Tereza do Tocantins (TO);2781
1720002;Santa Terezinha do Tocantins (TO);2406
1720101;São Bento do Tocantins (TO);5654
1720150;São Félix do Tocantins (TO);1783
1720200;São Miguel do Tocantins (TO);13241
1720259;São Salvador do Tocantins (TO);2385
1720309;São Sebastião do Tocantins (TO);4100
1720499;São Valério (TO);4422
1720655;Silvanópolis (TO);5108
1720804;Sítio Novo do Tocantins (TO);10830
1720853;Sucupira (TO);1577
1720903;Taguatinga (TO);14011
1720937;Taipas do Tocantins (TO);2021
1720978;Talismã (TO);2456
1721000;Palmas (TO);302692
1721109;Tocantínia (TO);7459
1721208;Tocantinópolis (TO);22615
1721257;Tupirama (TO);1909
1721307;Tupiratins (TO);1874
1722081;Wanderlândia (TO);10522
1722107;Xambioá (TO);10517
